Day_Type,Hour,Area,RU_id,RU_type,Capacity,RU_x,RU_y,Current_load,Load_Percentage,RU_Power
Weekday,0,Office,2339242788048,macro,200,500,1500,0.0,0.0,Idle
Weekday,0,Office,2339322711696,macro,200,500,3750,10.0,5.0,Reduced
Weekday,0,Office,2339341123408,macro,200,1250,500,5.0,2.5,Reduced
Weekday,0,Office,2339322764688,macro,200,1250,2500,21.0,10.5,Reduced
Weekday,0,Office,2339322764944,macro,200,2000,1500,24.0,12.0,Reduced
Weekday,0,Office,2339322765520,macro,200,2000,3750,0.0,0.0,Idle
Weekday,0,Residential,2339341300176,macro,200,3000,1500,81.0,40.5,Full
Weekday,0,Residential,2339341351376,macro,200,3000,3750,163.0,81.5,Full
Weekday,0,Residential,2339341351312,macro,200,3750,500,85.0,42.5,Full
Weekday,0,Residential,2339341351568,macro,200,3750,2500,195.0,97.5,Full
Weekday,0,Residential,2339351509136,macro,200,4500,1500,117.0,58.5,Full
Weekday,0,Residential,2339351648912,macro,200,4500,3750,55.0,27.500000000000004,Full
Weekday,0,Garden_Mall,2339351824784,macro,200,5500,1500,54.0,27.0,Full
Weekday,0,Garden_Mall,2339351832464,macro,200,5500,3750,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351835280,macro,200,6250,2500,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351836240,macro,200,6300,500,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351836304,macro,200,7000,1500,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351836368,macro,200,7000,3750,23.0,11.5,Reduced
Weekday,0,Office,2339351836496,micro,150,750,1000,25.0,16.666666666666664,Reduced
Weekday,0,Office,2339351836560,micro,150,750,3750,0.0,0.0,Idle
Weekday,0,Office,2339351836624,micro,150,1000,4800,0.0,0.0,Idle
Weekday,0,Office,2339351836688,micro,150,1750,1000,0.0,0.0,Idle
Weekday,0,Office,2339351836752,micro,150,1750,3750,12.0,8.0,Reduced
Weekday,0,Office,2339351836816,micro,150,2000,4800,0.0,0.0,Idle
Weekday,0,Office,2339351836880,micro,150,1400,2500,0.0,0.0,Idle
Weekday,0,Residential,2339351836944,micro,150,3000,4800,64.0,42.66666666666667,Full
Weekday,0,Residential,2339351837008,micro,150,3250,1000,52.0,34.66666666666667,Full
Weekday,0,Residential,2339351837072,micro,150,3250,3750,150.0,100.0,Full
Weekday,0,Residential,2339351837136,micro,150,4000,4800,104.0,69.33333333333334,Full
Weekday,0,Residential,2339351837200,micro,150,4250,1000,104.0,69.33333333333334,Full
Weekday,0,Residential,2339351837264,micro,150,4250,3750,84.0,56.00000000000001,Full
Weekday,0,Residential,2339351837328,micro,150,4000,2500,148.0,98.66666666666667,Full
Weekday,0,Garden_Mall,2339351837392,micro,150,5750,1000,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351837456,micro,150,5750,3750,9.0,6.0,Reduced
Weekday,0,Garden_Mall,2339351837520,micro,150,6000,4800,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351837584,micro,150,6750,1000,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351837648,micro,150,6750,3750,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351837712,micro,150,6400,2500,0.0,0.0,Idle
Weekday,0,Garden_Mall,2339351837776,micro,150,7000,4800,0.0,0.0,Idle
Weekday,1,Office,2339242788048,macro,200,500,1500,0.0,0.0,Idle
Weekday,1,Office,2339322711696,macro,200,500,3750,0.0,0.0,Idle
Weekday,1,Office,2339341123408,macro,200,1250,500,0.0,0.0,Idle
Weekday,1,Office,2339322764688,macro,200,1250,2500,21.0,10.5,Reduced
Weekday,1,Office,2339322764944,macro,200,2000,1500,0.0,0.0,Idle
Weekday,1,Office,2339322765520,macro,200,2000,3750,25.0,12.5,Reduced
Weekday,1,Residential,2339341300176,macro,200,3000,1500,32.0,16.0,Reduced
Weekday,1,Residential,2339341351376,macro,200,3000,3750,83.0,41.5,Full
Weekday,1,Residential,2339341351312,macro,200,3750,500,62.0,31.0,Full
Weekday,1,Residential,2339341351568,macro,200,3750,2500,27.0,13.5,Reduced
Weekday,1,Residential,2339351509136,macro,200,4500,1500,52.0,26.0,Full
Weekday,1,Residential,2339351648912,macro,200,4500,3750,42.5,21.25,Reduced
Weekday,1,Garden_Mall,2339351824784,macro,200,5500,1500,0.0,0.0,Idle
Weekday,1,Garden_Mall,2339351832464,macro,200,5500,3750,0.0,0.0,Idle
Weekday,1,Garden_Mall,2339351835280,macro,200,6250,2500,25.0,12.5,Reduced
Weekday,1,Garden_Mall,2339351836240,macro,200,6300,500,0.0,0.0,Idle
Weekday,1,Garden_Mall,2339351836304,macro,200,7000,1500,16.0,8.0,Reduced
